Product,Suitable for,Targets,When to apply
Botanical Repair Mist,"Dry & cracked skin, Sensitive Skin, Acne-prone Skin, Oily Skin, Dull skin, Rough skin","Dull skin, Uneven skin tone, Sebum control, Redness, Hyperpigmentation",AM PM
Lavender Foaming Face Wash,"Sensitive Skin, Acne-prone Skin, Texture, Teen Age, Fine Lines, Wrinkles, Dullness, Environmental Damage, Irritation, Normal skin, Combination skin, Oily skin, Dry skin","Dull skin, Uneven skin tone, Redness, Broken & Acne Skin, Enlarged pores, Hyperpigmentation",AM PM
Lavender Soothing Lotion,"Dry & cracked skin, Dull skin, Rough skin.","Dull skin, Dry Skin, Uneven skin tone, Redness, Hyperpigmentation",AM PM
Sandal Mist,"Normal skin, Combination skin, Oily skin, Dry skin","Dull skin, Uneven skin tone, Redness, Enlarged pores, Hyperpigmentation",AM PM
BIO Enzyme GLYCOLIC Vinegar,"Normal skin, Combination skin, Oily skin, Dry skin","Dull skin, Uneven skin tone, Redness, Enlarged pores, Hyperpigmentation",PM
Asian Clay & Rose Mask,"Oily skin, Normal skin, Combination skin","Breakouts & blemishes, Enlarged pores, Excess oil, Black Heads","AM, PM"
Intensive Skin Repair Sandal Lotion,"Dry & cracked skin, Dull skin, Rough skin.","Dull skin, Uneven skin tone, Redness, Hyperpigmentation, Moisturising","AM, PM"
Niacinamide & NEEM Toner,"Breakouts & blemishes, Enlarged pores, Excess oil, Black Heads","Hyperpigmentation, Scarring, Uneven skin tone, Redness, Large Pore","AM, PM"
Radiant Plump Serum,"Normal skin, Combination skin, Oily skin, Dry skin, Aging Skin","Hyperpigmentation, Scarring, Uneven skin tone, Redness, Large Pore, Anti Aging","AM, PM"
Charcoal Detox Soap,"Normal skin, Combination skin, Oily skin","Uneven skin tone, Broken & Acne Skin, Enlarged pores, Hyperpigmentation","AM, PM"
Radiant Plump Lip Mask,Cracked and dry lips,"Moisturising , Hyderating","AM , PM"
Radiant Plump Lip Mask,Cracked and dry lips,"Moisturising , Hyderating","AM, PM"
Gold Serum,"Normal skin, Combination skin, Oily skin, Dry skin, Aging Skin","Hyperpigmentation, Scarring, Uneven skin tone, Redness, Moisturising, Hyedrating, Loss of skin elasticity",AM PM
Sandal Glow Facial & Body Scrub,"Oily Skin , Combination Skin , Acne-Prone Skin , Dry Skin, , Sensitive Skin , Dull or Tired Skin, , Pigmented or Uneven Skin","Unclogs pores,  Balances dry and oily areas, reduce breakouts and calm inflammation, moisture; nourishe, soothing, calming effect, Boosts radiance, Lighten spots",PM
Radiant Rose Face Mist,"Oily Skin , Combination Skin , Acne-Prone Skin , Dry Skin, , Sensitive Skin , Dull or Tired Skin, , Pigmented or Uneven Skin","Dullness & dehydration, Premature aging due to pollution or screen exposure, Redness, irritation, and sensitivity, Large or visible pores, Uneven skin tone and lack of radiance","AM, NOON, PM"
Radiant Plump Moisturizer with Glutathione,"Dry Skin , Oily Skin , Combination Skin, , Sensitive Skin, , Mature Skin","Dull & tired-looking skin, , Uneven skin tone & discoloration, , Dark spots, melasma, and pigmentation, , Dryness and moisture loss, , Fine lines and early signs of aging, , Redness and irritation",
,"Normal Skin , Dry Skin , Oily Skin, Sensitive Skin, Acne-Prone Skin , Combination Skin","Dark spots & pigmentation, , Uneven skin tone, , Tanning & sun exposure, , Dry, irritated, or inflamed skin, , Loss of skin elasticity, , Mild acne or fungal skin conditions",
